"l1","l2","a12","a21","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
11,12,0.8,0.1,3.3720055679519,3.33333333333333,9.67479178310284,9.74537037037037,0.854332078693119,1.20478469035441,10.949,9,10.949,9,NaN,NA,1,0
12,12,0.8,0.1,3.68426283297448,3.61538461538462,9.87644731522415,9.9090909090909,0.960946084760568,1.11882975671440,13.5635,11,13.5735735735736,11,3.66666666666667,4,0.999,0.0015
10,13,0.8,0.1,3.01578714088177,3,10.3483930874687,10.3636363636364,0.741532610578733,1.35995316757988,8.028,7,8.028,7,NaN,NA,1,0
11,13,0.8,0.1,3.25243547927246,3.16666666666667,10.5307997043857,10.5714285714286,0.829600729750209,1.29252310755522,9.5055,8,9.50925462731366,8,2,2,0.9995,5e-04
12,13,0.8,0.1,3.53701003329663,3.44444444444444,10.6404991912219,10.7,0.906241979240138,1.20980084765803,11.621,9,11.621,9,NaN,NA,1,0
13,13,0.8,0.1,3.86099797959503,3.81818181818182,10.7474482731254,10.7935606060606,0.98251026904643,1.10057253069066,14.897,12,14.895947973987,12,17,17,0.9995,5e-04
10,14,0.8,0.1,2.95996290049508,2.84307692307692,11.0433466961697,11.125,0.737558584891225,1.47188656009698,7.2865,6,7.2865,6,NaN,NA,1,0
11,14,0.8,0.1,3.18507243151140,3.1,11.2649531764875,11.3,0.806327456090657,1.35694309493565,8.783,8,8.783,8,NaN,NA,1,0
12,14,0.8,0.1,3.41955722431232,3.33333333333333,11.4294249165455,11.5,0.87006773094089,1.30152994830434,10.2215,9,10.2215,9,NaN,NA,1,0
13,14,0.8,0.1,3.72906575506503,3.66666666666667,11.5498349804231,11.5833333333333,0.976518552612849,1.18076622912705,12.384,10,12.384,10,NaN,NA,1,0
14,14,0.8,0.1,4.01354592805159,3.96862745098039,11.6713877335024,11.7058823529412,1.03492820401172,1.12004117948470,15.413,12,15.413,12,NaN,NA,1,0
10,15,0.8,0.1,2.92320882758419,2.83333333333333,11.8226188792016,11.8,0.718576999949999,1.51676073675092,6.904,6,6.904,6,NaN,NA,1,0
11,15,0.8,0.1,3.12909943721560,3,12.0255715687757,12.0833333333333,0.802990195297488,1.46268459233665,7.758,7,7.758,7,NaN,NA,1,0
12,15,0.8,0.1,3.31238366413032,3.25,12.1620513149923,12.25,0.83308972627665,1.37228273111147,9.3295,8,9.3295,8,NaN,NA,1,0
13,15,0.8,0.1,3.60270421055218,3.53589743589744,12.3266612377233,12.4285714285714,0.913170735386325,1.33289954076969,10.7165,9,10.7165,9,NaN,NA,1,0
14,15,0.8,0.1,3.88753668673208,3.8,12.5438671814035,12.6381818181818,0.956737100451216,1.22562647705507,13.244,11,13.244,11,NaN,NA,1,0
15,15,0.8,0.1,4.26188693784379,4.21428571428571,12.6324077033442,12.7058823529412,1.09587006012405,1.13411913864354,16.686,13,16.686,13,NaN,NA,1,0
10,16,0.8,0.1,2.94884404159007,2.83333333333333,12.4167455699243,12.5,0.722824857680944,1.60360641409638,6.468,6,6.468,6,NaN,NA,1,0
11,16,0.8,0.1,3.08322034112318,3,12.7134775152853,12.8,0.773432295150227,1.59611817181775,7.3095,7,7.3095,7,NaN,NA,1,0
12,16,0.8,0.1,3.30029288834515,3.2,12.9112385761474,13,0.829642878604954,1.43095806600824,8.4275,7,8.4275,7,NaN,NA,1,0
13,16,0.8,0.1,3.50398053414852,3.4,13.079852895077,13.2247474747475,0.89483159727001,1.42195260600123,9.8625,8,9.8625,8,NaN,NA,1,0
14,16,0.8,0.1,3.73583905818686,3.66666666666667,13.3064473508497,13.3571428571429,0.94077523063953,1.32955200799803,11.8495,10,11.8495,10,NaN,NA,1,0
15,16,0.8,0.1,4.04885689497318,4,13.4540953473659,13.5211640211640,1.02884003073226,1.24805798537428,14.0425,12,14.0425,12,NaN,NA,1,0
16,16,0.8,0.1,4.44295179294117,4.375,13.5793552051832,13.6391489361702,1.10493055548876,1.19804823342204,17.8575,14,17.8575,14,NaN,NA,1,0
10,17,0.8,0.1,2.91033359650111,2.83333333333333,13.2034218619938,13.25,0.685229123314013,1.69771150061857,6.164,6,6.164,6,NaN,NA,1,0
11,17,0.8,0.1,3.07918580367263,3,13.4186182101706,13.5,0.765724949785167,1.66353731020639,6.874,6,6.874,6,NaN,NA,1,0
12,17,0.8,0.1,3.22730472205178,3.16666666666667,13.6498790846484,13.7416666666667,0.807802611799636,1.61806539211481,7.801,7,7.801,7,NaN,NA,1,0
13,17,0.8,0.1,3.46463708067253,3.375,13.8275901349773,13.8888888888889,0.867173492833619,1.48467561071465,8.957,8,8.957,8,NaN,NA,1,0
14,17,0.8,0.1,3.66928282481367,3.57142857142857,14.0563442386880,14.1428571428571,0.92869295076465,1.45545033385137,10.439,9,10.439,9,NaN,NA,1,0
15,17,0.8,0.1,3.91801074224728,3.85714285714286,14.1765377519210,14.25,1.01962924764954,1.34079227990622,12.128,10,12.128,10,NaN,NA,1,0
16,17,0.8,0.1,4.23421553394417,4.16666666666667,14.4016339449311,14.4615384615385,1.07103998416397,1.24698836729257,14.95,12,14.95,12,NaN,NA,1,0
17,17,0.8,0.1,4.61950913085795,4.58333333333333,14.4755783940713,14.55,1.16261831830447,1.19873803062058,18.7265,15,18.7323661830915,15,7,7,0.9995,5e-04
10,18,0.8,0.1,2.88891542762793,2.8,13.8917915363640,14,0.691053573849616,1.86245641231034,6.0135,5,6.0135,5,NaN,NA,1,0
11,18,0.8,0.1,3.04162953542537,3,14.1457861770975,14.25,0.759270872166341,1.73729493888651,6.619,6,6.619,6,NaN,NA,1,0
12,18,0.8,0.1,3.22448192689749,3.14285714285714,14.3700624996762,14.4285714285714,0.811992580195729,1.69564947657295,7.3455,7,7.3455,7,NaN,NA,1,0
13,18,0.8,0.1,3.38011158079848,3.28571428571429,14.5188008424221,14.6464285714286,0.857979476306705,1.63076643955250,8.4185,7,8.4185,7,NaN,NA,1,0
14,18,0.8,0.1,3.61233907889633,3.5,14.7501975179336,14.8333333333333,0.93415126972934,1.51635715038005,9.4645,8,9.4645,8,NaN,NA,1,0
15,18,0.8,0.1,3.85466741074732,3.75,14.9368118337064,15,0.98513463559701,1.47874973467211,11.124,9,11.124,9,NaN,NA,1,0
16,18,0.8,0.1,4.08125932790352,4,15.1578665627062,15.25,1.02427728513720,1.35526888547998,13.1945,11,13.1945,11,NaN,NA,1,0
17,18,0.8,0.1,4.41658765004465,4.36754385964912,15.3524075717625,15.4347826086957,1.09785631715932,1.31265122651000,16.206,13,16.206,13,NaN,NA,1,0
18,18,0.8,0.1,4.76352435215117,4.70294117647059,15.4945798249047,15.5954545454545,1.16386934197026,1.13699585400545,19.9035,16,19.9035,16,NaN,NA,1,0
10,19,0.8,0.1,2.89555160803249,2.8,14.4944798616416,14.5,0.718650595127894,1.91345494947711,5.852,5,5.852,5,NaN,NA,1,0
11,19,0.8,0.1,3.02735544628445,3,14.7644440855219,14.8,0.736378870347389,1.79211450313141,6.3345,6,6.3345,6,NaN,NA,1,0
12,19,0.8,0.1,3.22700885433667,3.16666666666667,15.0534398318035,15.1666666666667,0.780549294926807,1.79491179919939,6.9745,6,6.9745,6,NaN,NA,1,0
13,19,0.8,0.1,3.38577464983306,3.27922077922078,15.2651565080193,15.3333333333333,0.84105567593036,1.63051070756859,7.7885,7,7.7885,7,NaN,NA,1,0
14,19,0.8,0.1,3.55620365323581,3.45454545454545,15.4670809144206,15.6,0.897148287785745,1.57999707991705,9.037,8,9.037,8,NaN,NA,1,0
15,19,0.8,0.1,3.8359010713278,3.75,15.7006682741039,15.7958333333333,0.979813498248046,1.58222160160334,10.2855,9,10.2855,9,NaN,NA,1,0
16,19,0.8,0.1,3.98716378973709,3.86666666666667,15.8846834414332,15.9583333333333,1.01490592380389,1.41223592392783,11.813,10,11.813,10,NaN,NA,1,0
17,19,0.8,0.1,4.2571952564529,4.2,16.0384478070423,16.1538461538462,1.07607809122944,1.43097164484658,13.686,11,13.686,11,NaN,NA,1,0
18,19,0.8,0.1,4.62213409648035,4.60869565217391,16.1969676785962,16.2972709551657,1.14547122388612,1.32238197020357,16.5865,13,16.5865,13,NaN,NA,1,0
19,19,0.8,0.1,5.00564790371289,5,16.4093271603926,16.5,1.20455346149703,1.20185241997532,20.714,16,20.714,16,NaN,NA,1,0
10,20,0.8,0.1,2.91402090895216,2.8,15.1709581800144,15.25,0.721302398007564,2.00391830640246,5.592,5,5.592,5,NaN,NA,1,0
11,20,0.8,0.1,3.00708235130038,2.96428571428571,15.4462736837790,15.5,0.728779019773952,1.88272417221209,6.149,6,6.149,6,NaN,NA,1,0
12,20,0.8,0.1,3.15065700249613,3,15.7793441403712,15.8,0.783841509160405,1.79408677628700,6.679,6,6.679,6,NaN,NA,1,0
13,20,0.8,0.1,3.35174572055444,3.25,15.9801141604015,16,0.839575028109277,1.7487446540201,7.549,7,7.549,7,NaN,NA,1,0
14,20,0.8,0.1,3.51236447778206,3.4,16.2139703655152,16.3,0.888217749371311,1.71772711283884,8.4295,8,8.4295,8,NaN,NA,1,0
15,20,0.8,0.1,3.75407042148084,3.66666666666667,16.3786708303986,16.5,0.95561685416326,1.60804799709288,9.5415,8,9.5415,8,NaN,NA,1,0
16,20,0.8,0.1,3.93560520923411,3.83333333333333,16.6898691367623,16.7777777777778,0.98341971460911,1.57073184545418,10.8655,9,10.8655,9,NaN,NA,1,0
17,20,0.8,0.1,4.18515304034601,4.11111111111111,16.8698452573918,17,1.05054087598493,1.50030153509436,12.4085,10,12.4085,10,NaN,NA,1,0
18,20,0.8,0.1,4.47230886787385,4.39512195121951,17.0436598944971,17.1481481481481,1.13823413409474,1.40868491581743,14.459,12,14.459,12,NaN,NA,1,0
19,20,0.8,0.1,4.80758385139788,4.77979797979798,17.1734433936632,17.3036890645586,1.14434460863860,1.32661071689221,17.8645,15,17.8645,15,NaN,NA,1,0
20,20,0.8,0.1,5.23983968117314,5.17445652173913,17.351976848641,17.4545454545455,1.24990182195577,1.22615697148861,22.3655,18,22.3655,18,NaN,NA,1,0
10,10,0.9,0.1,3.1471758774227,3,8.01165258743337,8,0.81053843625379,1.10659333031540,10.0215,8,10.0325651302605,8,4.5,4,0.998,0.002
10,11,0.9,0.1,3.01154131140497,2.92582417582418,8.77365834788215,8.77777777777778,0.77368130812081,1.21527564416531,8.6395,7,8.64282141070535,7,2,2,0.9995,5e-04
11,11,0.9,0.1,3.30347537614537,3.25,8.87186108669762,8.85714285714286,0.882786428652068,1.10937071304157,10.679,9,10.6823411705853,9,4,4,0.9995,5e-04
10,12,0.9,0.1,2.96518294208569,2.85714285714286,9.49379631866602,9.5,0.738183201590646,1.28851536786447,7.915,7,7.915,7,NaN,NA,1,0
11,12,0.9,0.1,3.17024790619763,3.0625,9.6418813787242,9.66666666666667,0.818345076210676,1.22373816729446,9.147,8,9.15057528764382,8,2,2,0.9995,5e-04
12,12,0.9,0.1,3.43780502379298,3.33333333333333,9.76724750082854,9.77777777777778,0.899076429429748,1.16638328520780,11.2825,9,11.2847847847848,9,9,9,0.999,0.001
10,13,0.9,0.1,2.89623294056404,2.8,10.2794212486355,10.2857142857143,0.715427849465203,1.42445251014468,7.1045,6,7.10455227613807,6,7,7,0.9995,5e-04
11,13,0.9,0.1,3.07161379613306,3,10.3862024673533,10.4083333333333,0.792441693782119,1.32139136658037,8.1435,7,8.1435,7,NaN,NA,1,0
12,13,0.9,0.1,3.32824767840806,3.25,10.5530529226372,10.5714285714286,0.857754931537222,1.26893872371930,9.591,8,9.591,8,NaN,NA,1,0
13,13,0.9,0.1,3.59094347353943,3.5,10.6622588851848,10.7142857142857,0.939468050912986,1.18638130388177,11.514,9,11.514,9,NaN,NA,1,0
10,14,0.9,0.1,2.88961938061518,2.77777777777778,10.9438578049894,11,0.698198504939763,1.50187924103568,6.533,6,6.533,6,NaN,NA,1,0
11,14,0.9,0.1,3.07338863008962,3,11.0909661079726,11.2,0.78193675071447,1.41693160878050,7.3945,7,7.3945,7,NaN,NA,1,0
