"ID","l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rank","CoexistRank","Asy","cor","Rare"
248884,18,19,1.50,0.90,0.30,1.00,0.65,17.80,0.94,1.10,1.05,4.09,2,0,-2.98,25.63,0.03
248885,19,19,1.50,0.90,0.30,1.00,1.46,17.56,1.00,1.10,1.00,4.13,2,1,-3.02,24.39,0.07
248886,20,19,1.50,0.90,0.30,1.00,2.27,17.31,1.05,1.10,0.95,4.16,2,1,-3.06,23.01,0.11
248892,15,20,1.50,0.90,0.30,1.00,0.00,19.00,0.75,1.10,1.33,3.94,2,0,-2.84,26.98,0.00
248893,16,20,1.50,0.90,0.30,1.00,0.00,19.00,0.80,1.10,1.25,4.00,2,0,-2.89,27.55,0.00
248894,17,20,1.50,0.90,0.30,1.00,0.00,19.00,0.85,1.10,1.17,4.04,2,0,-2.94,27.93,0.00
248895,18,20,1.50,0.90,0.30,1.00,0.00,19.00,0.90,1.10,1.11,4.09,2,0,-2.98,28.40,0.00
248896,19,20,1.50,0.90,0.30,1.00,0.73,18.78,0.95,1.10,1.05,4.13,2,0,-3.02,27.34,0.03
248897,20,20,1.50,0.90,0.30,1.00,1.54,18.53,1.00,1.10,1.00,4.16,2,1,-3.06,25.99,0.07
248958,15,15,2.00,0.90,0.30,1.00,0.80,13.75,1.00,1.10,1.00,4.83,2,0,-3.73,24.15,0.05
248959,16,15,2.00,0.90,0.30,1.00,1.38,13.58,1.06,1.10,0.93,4.92,2,1,-3.82,23.30,0.09
248960,17,15,2.00,0.90,0.30,1.00,1.96,13.41,1.13,1.10,0.88,5.00,2,1,-3.89,22.32,0.12
248961,18,15,2.00,0.90,0.30,1.00,2.54,13.23,1.20,1.10,0.83,5.07,2,1,-3.96,21.21,0.16
248962,19,15,2.00,0.90,0.30,1.00,3.12,13.06,1.26,1.10,0.78,5.13,2,1,-4.03,20.02,0.19
248963,20,15,2.00,0.90,0.30,1.00,3.69,12.89,1.33,1.10,0.75,5.19,2,1,-4.09,18.81,0.22
248969,15,16,2.00,0.90,0.30,1.00,0.28,14.91,0.93,1.10,1.06,4.83,2,0,-3.73,27.28,0.01
248970,16,16,2.00,0.90,0.30,1.00,0.86,14.73,1.00,1.10,1.00,4.92,2,0,-3.81,26.49,0.05
248971,17,16,2.00,0.90,0.30,1.00,1.44,14.56,1.06,1.10,0.94,5.00,2,1,-3.89,25.58,0.09
248972,18,16,2.00,0.90,0.30,1.00,2.02,14.39,1.12,1.10,0.88,5.07,2,1,-3.96,24.55,0.12
248973,19,16,2.00,0.90,0.30,1.00,2.60,14.21,1.18,1.10,0.84,5.13,2,1,-4.03,23.39,0.15
248974,20,16,2.00,0.90,0.30,1.00,3.17,14.04,1.25,1.10,0.80,5.19,2,1,-4.09,22.22,0.18
248980,15,17,2.00,0.90,0.30,1.00,0.00,16.00,0.88,1.10,1.13,4.83,2,0,-3.73,29.84,0.00
