"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
11,20,2.5,0.3,0.9,0.9,1.66,19.44,0.55,2.72,1.81,2.39,0.07,0.33,-2.93,2.67944664480381,2.6,14.4566596166310,14.8844444444444,0.559610791439818,2.71798188545321,8.9365,7,8.9365,7,NaN,NA,1,0
12,20,2.5,0.3,0.9,0.9,2.12,18.98,0.6,2.72,1.66,2.41,0.1,0.3,-2.61,2.84693070055169,2.8,14.7499309112957,15.1428571428571,0.618325960961628,2.62965337821131,10.597,9,10.597,9,NaN,NA,1,0
13,20,2.5,0.3,0.9,0.9,2.57,18.53,0.65,2.72,1.53,2.44,0.12,0.28,-2.23,3.01172264992601,3,15.0127210608523,15.3779761904762,0.6356202816341,2.37432019842854,12.933,10,12.933,10,NaN,NA,1,0
14,20,2.5,0.3,0.9,0.9,3.03,18.08,0.7,2.72,1.42,2.46,0.14,0.26,-1.95,3.22132055915715,3.2,15.3208063972039,15.6666666666667,0.662546467950594,2.23463112524134,16.3655,13,16.3783783783784,13,3.5,3.5,0.999,0.001
15,20,2.5,0.3,0.9,0.9,3.48,17.62,0.75,2.72,1.33,2.48,0.16,0.24,-1.69,3.46771900578988,3.45454545454545,15.4132905135636,15.7930936073059,0.67840961651411,2.13899429335301,20.5755,16,20.5755,16,NaN,NA,1,0
16,20,2.5,0.3,0.9,0.9,3.93,17.17,0.8,2.72,1.25,2.5,0.18,0.22,-1.45,3.75859258414155,3.77777777777778,15.5031644281013,15.8729838709677,0.695986251971202,2.00264115013731,26.8375,20,26.8375,20,NaN,NA,1,0
17,20,2.5,0.3,0.9,0.9,4.39,16.71,0.85,2.72,1.17,2.51,0.2,0.21,-1.29,4.05035644676368,4.12081081081081,15.4801480584897,15.7399355877617,0.706015866480748,1.71596482532277,34.998,26,34.998,26,NaN,NA,1,0
18,20,2.5,0.3,0.9,0.9,4.84,16.26,0.9,2.72,1.11,2.52,0.22,0.19,-1.14,4.42067255837292,4.50782970393932,15.3338957368891,15.5915492957746,0.720846867612195,1.64443753525889,48.8515,36,48.8627941912869,36,41.3333333333333,48,0.9985,0.0015
19,20,2.5,0.3,0.9,0.9,5.3,15.8,0.95,2.72,1.05,2.54,0.25,0.18,-0.94,4.83559255822059,4.92546296296296,15.1873079017284,15.4157801418440,0.696463886421747,1.43288790708738,69.4785,51,69.4732366183092,51,80,80,0.9995,5e-04
20,20,2.5,0.3,0.9,0.9,5.75,15.35,1,2.72,1,2.55,0.27,0.17,-0.81,5.28309697779154,5.37643998513564,14.9186801017417,15.1161081081081,0.66651482871591,1.37792841691151,102.3475,71,102.444556451613,71,90.3125,58.5,0.992,0.008
11,11,3,0.3,0.9,0.9,2.46,8.64,1,2.53,1,2.75,0.22,-0.21,0.67,2.72415086331848,2.66666666666667,6.99110096770147,7.17156862745098,0.56631213651757,1.61659629429023,11.3875,9,11.4290171606864,9,10.2784810126582,6,0.9615,0.0395
12,11,3,0.3,0.9,0.9,2.83,8.27,1.09,2.53,0.91,2.79,0.25,-0.25,0.7,2.93437713732434,2.88888888888889,6.94133169309424,7.09090909090909,0.622402227066598,1.5599308246653,14.588,11,14.7183695076760,11,12.6,7,0.9445,0.0575
13,11,3,0.3,0.9,0.9,3.2,7.9,1.18,2.53,0.84,2.82,0.28,-0.28,0.68,3.20970492681092,3.16666666666667,6.82629134873275,7,0.716943666515482,1.54485110861674,18.5375,14,18.7895613548029,14,16.3663366336634,11,0.9005,0.101
14,11,3,0.3,0.9,0.9,3.58,7.53,1.27,2.53,0.78,2.85,0.32,-0.31,0.63,3.46843593895391,3.45521390374332,6.64463861737113,6.8,0.706158794066807,1.52358135650623,22.8075,17,22.8965922444183,17,22.3377049180328,16,0.851,0.1525
11,12,3,0.3,0.9,0.9,2.34,9.87,0.91,2.57,1.09,2.75,0.19,-0.17,0.67,2.69401072567024,2.625,7.77718217495011,8,0.550449829238889,1.71370320677760,10.991,9,11.0609756097561,9,6.6875,4,0.984,0.016
12,12,3,0.3,0.9,0.9,2.71,9.5,1,2.57,1,2.79,0.22,-0.21,0.74,2.88190255259919,2.85714285714286,7.92894250906944,8.11269841269841,0.582897402552371,1.63785742381442,14.296,11,14.3990778688525,11,10.1041666666667,7,0.976,0.024
13,12,3,0.3,0.9,0.9,3.08,9.13,1.08,2.57,0.92,2.82,0.25,-0.25,0.75,3.09721174808536,3.06451612903226,7.7975447523333,8,0.636740732302225,1.65312585347582,17.477,13,17.6783472803347,13,12.9890109890110,9,0.956,0.0455
14,12,3,0.3,0.9,0.9,3.45,8.76,1.16,2.57,0.85,2.85,0.28,-0.28,0.74,3.32793665849714,3.32815892314373,7.75650079130696,7.95119047619048,0.6528611887894,1.57438716175068,22.197,16,22.2944621938232,17,20.344,16,0.939,0.0625
15,12,3,0.3,0.9,0.9,3.82,8.39,1.25,2.57,0.8,2.88,0.31,-0.31,0.7,3.60179265285508,3.61111111111111,7.55999418384013,7.78370941111723,0.689064078951915,1.56942641596318,27.2965,19,27.7769703745109,19,23.2407407407407,16,0.8945,0.108
16,12,3,0.3,0.9,0.9,4.19,8.02,1.33,2.57,0.75,2.9,0.34,-0.33,0.63,3.99359470092637,4,7.23989348430006,7.41522988505747,0.753784536963662,1.52649715553662,34.858,25,35.6475308641975,26,31.586387434555,22,0.81,0.191
11,13,3,0.3,0.9,0.9,2.22,11.11,0.84,2.6,1.18,2.75,0.16,-0.15,0.66,2.64207540576937,2.57142857142857,8.73214762111418,9,0.528129289182635,1.85769235160969,10.6455,8,10.6814292903875,8,6.2,5,0.9935,0.0075
12,13,3,0.3,0.9,0.9,2.59,10.74,0.92,2.6,1.08,2.79,0.19,-0.19,0.77,2.81138988582518,2.76470588235294,8.71976256487103,9,0.568593540447498,1.82149689199692,12.9495,10,12.9903894790086,10,9.43478260869565,6,0.9885,0.0115
13,13,3,0.3,0.9,0.9,2.96,10.37,1,2.6,1,2.82,0.22,-0.22,0.81,3.00334510543057,3,8.78662442499598,9,0.596164541909484,1.72010177907108,16.091,12,16.2115971515768,12,9.11764705882353,5.5,0.983,0.017
14,13,3,0.3,0.9,0.9,3.33,10,1.07,2.6,0.92,2.85,0.24,-0.25,0.83,3.24533187666670,3.25,8.75759883527376,9,0.628843350181165,1.70763517448869,21.2525,16,21.3947503860010,16,15.8166666666667,11,0.9715,0.03
